sampleID	ENSG00000049768.15	ENST00000376207.9	ENST00000376199.7
SRR8518122	0.710525	0.580429	0
SRR8518123	1.187049	0.624457	0.230306
SRR8518124	2.97385	1.751554	0.992973
SRR8518125	0.881769	0.489338	0.246802
SRR8518126	1.749003	0.775117	0
SRR8518127	0.717127	0.483532	0.211136
SRR8518128	0.781061	0.392108	0.313368
SRR8518129	0.975711	0.649493	0
SRR8518130	0.281261	0.171055	0
SRR8518131	0.178591	0.13093	0
SRR8518132	0.091193	0.091193	0
SRR8518133	0.22122	0.130753	0.090467
SRR8518134	0.122462	0.075099	0
SRR8518135	0.609003	0.375833	0
SRR8518136	0.104718	0.078015	0.026703
SRR8518137	0.190531	0.15644	0
SRR8518138	1.075688	0.671983	0
SRR8518139	0.443684	0.161925	0
SRR8518140	0.165025	0.090905	0
SRR8518141	0.257747	0.104202	0
SRR8518142	0.237665	0.180888	0
SRR8518143	0.096111	0.057765	0
SRR8518144	0.120908	0.097901	0
SRR8518145	0.061895	0.061895	0
SRR8518146	0.362503	0.273975	0.055173
SRR8518147	0.13297	0.083143	0.030041
SRR8518148	0.145794	0.123453	0
SRR8518149	0.499458	0.214587	0
SRR8518150	0.130794	0.059039	0
SRR8518151	0.513189	0.207588	0.305601
SRR8518152	0.33066	0.13823	0.147806
SRR8518153	0.137595	0.059862	0
SRR8518154	0.895752	0.455226	0
SRR8518155	0.156992	0.156992	0
SRR8518156	0.556955	0.2938	0.263155
SRR8518157	0.184628	0.035884	0
SRR8518158	0.063607	0.038975	0
SRR8518159	0.398617	0.099611	0
SRR8518160	0.76148	0.500444	0.065001
SRR8518161	0.43584	0.287954	0
SRR8518162	0.323743	0.214339	0.057675
SRR8518163	0.155804	0.077818	0
SRR8518164	0.153606	0.153606	0
SRR8518165	0.136028	0.122288	0.01374
SRR8518166	0.847953	0.664712	0.042858
SRR8518167	0.485763	0.352534	0
SRR8518168	0.748344	0.264127	0.446252
SRR8518169	0.147404	0.057406	0.089998
SRR8518170	0.29842	0.149648	0
SRR8518171	0.128177	0.090777	0
SRR8518172	0.138549	0.092076	0
SRR8518173	0.179091	0.139735	0
SRR8518174	0.412124	0.243497	0
SRR8518175	0.342395	0.195793	0
SRR8518176	0	0	0
SRR8518177	0.236623	0.236623	0
SRR8518178	0.272229	0.124258	0
SRR8518179	0.351778	0.241742	0.110036
SRR8518180	0.31477	0.18344	0
SRR8518181	0.248825	0.174843	0
SRR8518182	0.165131	0.129482	0
SRR8518183	0.208327	0.067415	0
SRR8518184	0.224982	0.141391	0.083591
SRR8518185	0.316405	0.264539	0
SRR8518186	0.087334	0.021457	0
SRR8518187	0.005492	0.005492	0
SRR8518188	0.904232	0.467138	0.379387
SRR8518189	0.202318	0.079025	0.05911
SRR8518190	0.552905	0.356687	0.173566
SRR8518191	1.018868	0.433472	0.549356
SRR8518192	0.717768	0.45391	0
SRR8518193	0.312506	0.222537	0
SRR8518194	0.834933	0.42642	0
SRR8518195	0.186594	0.113648	0
SRR8518196	1.090537	0.367129	0.444864
SRR8518197	0.434803	0.248494	0
SRR8518198	0.242487	0.169424	0
SRR8518199	0.164017	0.164017	0
SRR8518200	0.640483	0.283032	0.229281
SRR8518201	0.526434	0.407094	0
SRR8518202	0.078705	0.048394	0
SRR8518203	0.218564	0.047453	0.171111
SRR8518204	0.292671	0.116557	0
SRR8518205	0.15563	0.072257	0.083373
SRR8518206	0.055235	0.02895	0
SRR8518207	0.198664	0.137063	0
SRR8518208	0.983624	0.716889	0.152613
SRR8518209	0.257414	0.157513	0
SRR8518210	0.412685	0.225827	0
SRR8518211	0.208253	0.129695	0
SRR8518212	1.241802	0.555706	0.595366
SRR8518213	0.612827	0.190719	0.148403
SRR8518214	0.700905	0.511219	0
SRR8518215	1.551886	0.697138	0.564975
SRR8518216	0.930653	0.565645	0.109737
SRR8518217	0.109926	0.085057	0
SRR8518218	0.154177	0.018319	0
SRR8518219	0.545367	0.291907	0
SRR8518220	0.662297	0.382554	0
SRR8518221	0.155893	0.057033	0
SRR8518222	0.925977	0.489967	0.23633
SRR8518223	0.137165	0.137165	0
SRR8518224	0.335559	0.295606	0
SRR8518225	0.047642	0.023548	0
SRR8518226	0.19135	0.123562	0
SRR8518227	0.387133	0.303141	0
SRR8518228	2.84491	1.731788	0.843457
SRR8518229	0.806601	0.440232	0
SRR8518230	0.376868	0.237112	0
SRR8518231	0.515294	0.296818	0.05805
SRR8518232	0.528356	0.09377	0.267472
SRR8518233	0.944246	0.615143	0
SRR8518234	0.137555	0.095655	0
SRR8518235	0.385174	0.180264	0.165242
SRR8518236	0.150918	0.111502	0.039416
