sampleID	ENSG00000049768.15	ENST00000376207.9	ENST00000376199.7
SRR1313132	15.692457	13.366572	0
SRR1313133	4.155327	2.980314	0
SRR1313134	0.97023	0.677357	0
SRR1313135	14.056439	11.475732	0
SRR1313136	1.589926	1.447971	0
SRR1313137	3.777374	3.106083	0
SRR1313138	10.939605	7.088955	3.288835
SRR1313139	3.53081	2.509878	0
SRR1313140	2.044897	1.877912	0
SRR1313141	0.842487	0.706973	0.043705
SRR1313142	16.852995	15.354803	0.869711
SRR1313143	0.568375	0.501554	0
SRR1313144	11.534943	6.711904	3.445588
SRR1313145	3.457833	2.060006	0.394461
SRR1313146	0.521035	0.483828	0
SRR1313147	6.653745	3.63177	2.051977
SRR1313148	6.127117	3.839003	1.554717
SRR1313149	2.571112	2.197901	0
SRR1313150	3.565318	2.290361	1.178779
SRR1313151	2.832538	2.202482	0
SRR1313152	6.385504	4.383128	1.607819
SRR1313153	13.100965	12.616501	0
SRR1313154	0.796265	0.751949	0
SRR1313155	1.009728	0.828346	0.181382
SRR1313156	2.077591	1.773222	0
SRR1313157	1.544387	1.18783	0.243502
SRR1313158	1.244098	1.125292	0
SRR1313159	16.757849	13.629347	1.317658
SRR1313160	2.842777	2.455431	0
SRR1313161	3.602086	3.421316	0
SRR1313162	5.934082	4.98463	0
SRR1313163	2.846303	2.668748	0
SRR1313164	3.377187	3.019821	0
SRR1313165	7.957823	4.56679	2.058014
SRR1313166	3.04317	2.788508	0
SRR1313167	1.442435	1.192098	0
SRR1313168	6.071249	5.757624	0
SRR1313169	2.760039	2.760039	0
SRR1313170	4.568223	4.03739	0.530833
SRR1313171	1.776817	0.587776	0.693589
SRR1313172	0.626293	0.412337	0
SRR1313173	0.920572	0.742244	0.131636
SRR1313209	1.976294	0.637567	0.893268
SRR1313210	1.649334	1.361156	0
SRR1313211	1.393112	1.138682	0
SRR1313212	1.000345	0.837059	0
SRR1313213	0.657886	0.461729	0.196157
SRR1313214	1.388707	0.620463	0.768244
SRR1313215	3.467801	1.767971	1.086945
SRR1313216	1.715643	1.261597	0
SRR1313217	1.480615	1.142338	0
SRR1313218	3.033262	1.108984	1.624005
SRR1313219	1.452449	0.924174	0.337179
SRR1313220	0.855732	0.596659	0
SRR1313221	1.204232	0.642058	0
SRR1313222	0.601057	0.372938	0
SRR1313223	0.242708	0.160631	0
SRR1313224	2.210025	1.54826	0
SRR1313225	1.338552	1.020589	0
SRR1313226	1.744315	1.194615	0
SRR1313227	1.27158	0.627397	0.644183
SRR1313228	1.939542	0.998854	0.837008
SRR1313229	0.898785	0.529044	0
