sampleID	ENSG00000049768.15	ENST00000376207.9	ENST00000376199.7
ERR3461056	0.301002	0.206075	0
ERR3461057	1.213036	0.429473	0.722991
ERR3461058	0.181731	0.021721	0.096435
ERR3461059	0.173077	0.062994	0
ERR3461060	0.506735	0.161823	0.281558
ERR3461061	0.146234	0.099472	0
ERR3461062	0.466861	0.325421	0.099228
ERR3461063	0.456979	0.240235	0.089563
ERR3461064	0.452889	0.159308	0.254282
ERR3461065	0.505565	0.296174	0
ERR3461066	0.126279	0.040072	0
ERR3461067	0.530843	0.186025	0.146274
ERR3461068	0.143014	0.074601	0.068413
ERR3461069	0.348399	0.098443	0.11497
ERR3461070	0.291436	0.173794	0
ERR3461071	0.479534	0.248669	0.15948
ERR3461072	0.669917	0.407532	0.191758
ERR3461073	0.625049	0.172824	0.39482
